"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
4780|"GENETICS 574"|574|"The Gastrointestinal System"|"Anatomy, histology, physiology and pathology of the gastrointestinal system and the corresponding cellular manifestations which provide diagnostic information. Cell changes related to specimen processing. Correlation of the didactic information with the microscopic cellular patterns to provide a diagnosis. "|"3"|21512
4781|"GENETICS 575"|575|"Miscellaneous Systems"|"Anatomy, histology, physiology and pathology of skin, thyroid, lymph nodes and other sites and the corresponding celluular manifestations which provide diagnostic information. Emphasis on specimen collection by fine needle aspiration. Correlation of the didactic information with the microscopic cellular patterns to provide a diagnosis. "|"3"|21516
4782|"GENETICS 576"|576|"Effusions"|"Anatomy, physiology, histology and pathology of the body cavities. Cytologic manifestations which provide diagnostic information. Cell changes related to specimen processing. Correlation of the didactic information with the microscopic cellular patterns to provide a diagnosis. "|"2"|21513
4783|"GENETICS 577"|577|"Applied Cytology I"|"Written and practical application of the comprehensive body of knowledge to all aspects of preparation, evaluation, correlation and diagnosis of cytologic speciments. "|"1"|21515
4784|"GENETICS 578"|578|"Applied Cytology II"|"Written and practical application of the advanced comprehensive body of knowledge to all aspects of preparation, evaluation, correlation and diagnosis of cytologic specimens. Practice in nationally offered cytologic examinations. "|"1"|21532
4785|"GENETICS 588"|588|"Immunogenetics"|"Immunogenetics focuses on the unique genetic phenomena that occur in lymphocytes during development and response to stimuli. It pays particular attention to the processes of adaptive antigen receptor development and maturation, major histocompatibility complex molecule polygeny and polymorphism in the context of current real-life challenges (e.g. COVID-19, influenza, and HIV), immunological evolution, epigenetics associated with autoimmunity, sex differences in immune responses, and some genetic processes involved in cancer of white blood cells.  Ultimately, the genetic mechanisms that drive the immunological and clinical differences observed between individuals when confronted with the same challenge will be examined, and explored through the primary and secondary research literature in order to strengthen scientific literacy. "|"3"|26294
4786|"GENETICS 605"|605|"Clinical Cases in Medical Genetics"|"The use of genetics in medicine has experienced significant growth over the past 50 years, identifying risk genes, and devising diagnostic tests and therapies based on this knowledge for specific clinical disorders such as cystic fibrosis, achondroplasia, and Retts syndrome.  MDs and biomedical scientists from UW Hospital and Clinics, the School of Medicine and Public Health, and other UW units will present lectures in this field followed by question-answers sessions. Other class sessions will be devoted to student presentations and open discussion of research literature. "|"3"|25904
4787|"GENETICS 612"|612|"Prokaryotic Molecular Biology"|"Molecular basis of bacterial physiology and genetics with emphasis on molecular mechanisms; topics include nucleic acid-protein interactions, transcription, translation, replication, recombination, regulation of gene expression. "|"3"|8149
4788|"GENETICS 615"|615|"Genetic Mapping"|"Computing-intensive course to prepare students for genetic mapping research; linkage analysis and QTL mapping in designed crosses; linkage disequilibrium and association analysis (GWAS). Recommended preparation is undergraduate courses in genetics and statistics and prior experience writing R scripts (such as module 1 of STAT 327)."|"3"|25268
4789|"GENETICS 620"|620|"Eukaryotic Molecular Biology"|"Focuses on the basic molecular mechanisms that regulate DNA, RNA, and protein metabolism in eukaryotic organisms. "|"3"|22158
4790|"GENETICS 624"|624|"Molecular Ecology"|"Basic principles of molecular ecology. Lecture topics include population genetics, molecular phylogenetics, rates and patterns of evolution, genome evolution, and molecular ecology. "|"3"|22179
4791|"GENETICS 626"|626|"Genomic Science"|"Brings cutting-edge topics in the genomic sciences into the reach of those in chemistry, biology, engineering, computer science & statistics fields. Enables biologically-oriented students to deal with advances in analytical science so that they may incorporate new genomic science concepts into their own scientific repertoires. "|"2"|23773
4792|"GENETICS 627"|627|"Animal Developmental Genetics"|"Advanced genetics course focusing on genetic mechanisms of animal embryonic development, with particular emphasis on central molecular circuitries that control development and genetic analytical tools used to reveal them. Address topics including maternal and epigenetic inheritance, the egg-to-embryo transition, pattern formation, organogenesis, coordination of cellular and molecular mechanisms, and animal models of human congenital disorders.  "|"3"|23957
4793|"GENETICS 631"|631|"Plant Genetics and Development"|"Covers the basic concepts of genetics and genomics as applied to plants and their development, including discussions on breeding systems (modes of reproduction, sex determination, self incompatibility and crossing barriers), linkage analysis, genome structure and function (structure, function and evolution of nuclear and organellar chromosomes; haploidy and polyploidy; expression regulation and epigenetics), along with a description of current methodologies used in the analysis of these processes within the context of plant development. The objective is to instigate a broader knowledge and understanding of the principles and methodologies used in plant genetics and their applications in investigations of the molecular mechanisms that modulate plant development.  "|"3"|8161
4794|"GENETICS 633"|633|"Population Genetics"|"Population genetics, aimed at preparing students to initiate research in this field. Explore how genetic variation is influenced by mutation and recombination, population size changes and migration, and natural selection for or against new mutations.  "|"3"|23974
4795|"GENETICS 636"|636|"Public Health Genomics"|"Provides an introduction to public health genomics through a review of fundamental principles of genetics, the use of genetic information in clinical and research settings, and its implications for disease management and prevention, and health promotion.  Explores policies that guide public health and discusses current ethical, legal, and social implications of these policies.  "|"1"|24554
4796|"GENETICS 655"|655|"Biology and Genetics of Fungi"|"Fungal genetics, genomics, and physiology using plant pathogenic fungi and the genetic models Aspergillus nidulans and Neurospora crassa as model systems to explore the current knowledge of fungal genetics and plant/fungal interactions. "|"3"|21993
4797|"GENETICS 662"|662|"Cancer Genetics"|"Cancer remains one of the most difficult health issues facing our society. There is hope in the horizon due to an increasing understanding of both genetic and epigenetic alterations in cancer. In particular, DNA sequencing of human cancers is becoming more common in major health care centers, and there is expectation that this technology will allow for personalized medicine. Thus, there has been a rapid increase in this knowledge over the last decade. Become aware of the current major issues in cancer research and critically evaluate the cancer genetics literature. "|"3"|24672
4798|"GENETICS 670"|670|"Seminar in Clinical Cytogenetics"|"Overview of the basic features of chromosome structure and behavior including karyotyping clinical correlates of numerical and structural chromosome aberrations, sex chromosome abnormalities, breakage syndromes and the chromosomal changes associated with the development of cancer. "|"1"|21528
4799|"GENETICS 671"|671|"Advanced Clinical Practice"|"Clinical practicum to develop diagnostic expertise of cytologic specimens. Examine challenging cases with emphasis on diagnostic pitfalls. Observe patient clinics related to cytologic specimen collection. Participate at clinical experiences in fine needle aspiration, histology, and a private cytology laboratory. "|"8"|21531
4800|"GENETICS 672"|672|"Seminar in Laboratory Operations and Quality Control"|"Review the fundamentals of basic administrative functions and regulatory requirements including planning, organizing, supervising and controlling business management, record keeping, data processing and laboratory safety. Quality assurance procedures necessary for obtaining, processing, diagnosing and reporting cytologic specimens. "|"1"|21586
4801|"GENETICS 673"|673|"Seminar in Clinical Cytology"|"Preparation of a case study or clinical topic of choice by each student to present to a peer professional group of cytology staff and medical faculty. Preparation of a referenced scientific term paper or participation in an approved research or class project pertaining to cliniccal cytology. "|"1"|21530
4802|"GENETICS 677"|677|"Advanced Topics in Genetics"|"Contents vary; consideration of subjects not included in the curriculum. "|"1-3"|12165
4803|"GENETICS 681"|681|"Senior Honors Thesis"|"Individual study for majors completing theses for Honors degrees as arranged with a faculty member.  "|"2-4"|8165
4804|"GENETICS 682"|682|"Senior Honors Thesis"|"Individual study for majors completing theses for Honors degrees as arranged with a faculty member.  "|"2-4"|21141
4805|"GENETICS 699"|699|"Special Problems"|"Individual advanced work in an area of Genetics under the direct guidance of a faculty member.  "|"1-3"|8166
4806|"GENETICS 701"|701|"Advanced Genetics"|"First semester of professional level training in genetic mechanisms and analysis as applied to genetic transmission, gene expression, forward and reverse genetics, molecular genetics, genonmics, developmental genetics, and epigenetics.  "|"3"|8167
4807|"GENETICS 702"|702|"Advanced Genetics II"|"Second of semester of professional level training in genetic mechanisms and analysis as applied to genetic transmission, gene expression, forward and revese genetics, molecular genetics, genonmics, developmental genetics, and epigenetics.  "|"3"|24445
4808|"GENETICS 707"|707|"Genetics of Development"|"A research-level analysis of the current status of the investigation of processes controlling differential gene activity and cellular behavior. The major emphasis is genetic. In successive years, the focus moves from the gene to the cell to the organism. "|"3"|12169
4809|"GENETICS 708"|708|"Methods and Logic in Genetic Analysis"|"Contemporary issues in genetic, developmental, cell, and molecular biology are addressed in a discussion format. Invited speakers give research lectures and reading material is taken from the primary literature. The discussion focuses on evaluating genetic approaches to biological problems. "|"3"|21886
4810|"GENETICS 710"|710|"Developmental Genetics"|"Covers a broad range of topics in animal development, with an emphasis on molecular mechanisms. Focuses on common themes, with the goal of understanding and analyzing current research in developmental biology and genetics. "|"3"|25711
4811|"GENETICS 820"|820|"Foundations of Evolution"|"Explore some of the most important themes and debates that have permeated evolutionary biology over the last 50 years. Read key papers related to each controversial topic, debate the pros and cons of competing viewpoints, and reflect on the relevance of the issue to contemporary evolutionary biology. "|"2"|24246
4812|"GENETICS 840"|840|"Regulatory Mechanisms in Plant Development"|"Molecular mechanisms whereby endogenous and environmental regulatory factors control development; emphasis on stimulus perception and primary events in the signal chain leading to modulated gene expression and cellular development. "|"3"|2047
4813|"GENETICS 849"|849|"Genetic Epidemiology"|"This course will provide an introduction to genetic epidemiology. Topics will include a general overview of genetics and Mendelian and complex inheritance, as well as various elements of study design, including participant ascertainment; phenotype definition; biologic sample selection; genotyping, sequencing, and quality control; measurement of covariates, and choice of analytic methods. We will briefly discuss some of the original study designs and then focus on current study designs for the remainder of the class. Additional emerging topics will be briefly touched upon. Students will complete short homework assignments to enforce concepts learned during lectures, discuss journal articles, and prepare a very short grant application for the mid-term project. In the final weeks of class, students will work together to analyze data from a real genetic study, prepare tables, interpret the findings, and present their project to their peers. "|"3"|24454
4814|"GENETICS 875"|875|"Special Topics"|"Special topics of current interest to graduate students. "|"1-4"|8177
4815|"GENETICS 885"|885|"Advanced Genomic and Proteomic Analysis"|"With the availability of genome sequences and high-throughput techniques, organismal physiology can now be examined on a global scale by monitoring the behavior of all genes or proteins in a single experiment. This course will present modern techniques in genomics and proteomics, with particular focus on analyzing the data generated by these techniques. Course material will cover genomic sequencing, comparative sequence analysis, phylogeny construction and phylogenomics, transcription factor motif discovery, DNA microarray analysis, techniques in mass spectrometry, proteomic screening methods, and protein-interaction network analysis. In addition to lecture time, the course includes computer lab where students get hands-on experience analyzing genomic and proteomic datasets. Students should have coursework in general statistics and intermediate or advanced genetics. "|"3"|24308
4816|"GENETICS 915"|915|"Computation and Informatics in Biology and Medicine"|"Participants and outside speakers will discuss current research in computation and informatics in biology and medicine. This seminar is required of all CIBM program trainees. "|"1"|22115
4817|"GENETICS 951"|951|"Seminar in Animal Breeding"|""|"0-1"|11911
4818|"GENETICS 957"|957|"Seminar-Plant Breeding"|"Graduate seminar in Plant Breeding & Plant Genetics (PBPG) that requires students to give oral scientific presentations on topics chosen by the instructors and/or the student¿s thesis research. This seminar is coordinated by PBPG faculty on a rotating basis. "|"1"|9969
4819|"GENETICS 990"|990|"Research"|"Independent laboratory research in preparation of a graduate thesis under supervision of a faculty member. "|"1-12"|8187
4820|"GENETICS 993"|993|"Seminar in Genetics"|"Various aspects of genetics: Drosophila, maize, immunogenetics, developmental genetics, or other special topics.  "|"0-1"|8188
4821|"GEOG 101"|101|"Introduction to Human Geography"|"Human geographers explore socio-spacial relations, processes and representations of the world in which we live. Engages economic, political, urban, socio-cultural and environmental geographic perspectives to investigate patterns and processes that have come to be associated with 'globalization'. "|"4"|8189
4822|"GEOG 104"|104|"Introduction to Human Geography"|"Human geographers explore socio-spacial relations, processes and representations of the world in which we live. Engages economic, political, urban, socio-cultural and environmental geographic perspectives to investigate patterns and processes that have come to be associated with 'globalization'. "|"3"|22742
4823|"GEOG 120"|120|"Introduction to the Earth System"|"Introduction to how the Earth system works and what makes Earth livable. Gain appreciation for how the atmosphere, oceans, life, and earth's surface interact to shape our local, regional and global landscapes. "|"3"|8194
4824|"GEOG 127"|127|"Physical Systems of the Environment"|"Climatic regimes, landforms, soils, waters and life forms at the earth's surface in terms of energy-transforming processes, locational patterns, and changes through time. "|"5"|8198
4825|"GEOG 139"|139|"Global Environmental Issues"|"Explores the global and local nature of environmental problems, including issues of climate change, food, energy, globalization, deforestation, biodiversity loss, resource access, environmental justice, and population. Considers how we should analyze and act on environmental problems as we confront the apparently daunting scale of such issues. What appear to be single global environmental issues are actually composed of many smaller, context-specific, and place-dependent problems or conflicts. Through an interdisciplinary and geographic perspective, these issues can be understood and addressed at the scale of our lived lives. "|"3"|8199
4826|"GEOG 170"|170|"Our Digital Globe: An Overview of GIScience and its Technology"|"Introduction to the collection, representation and use of geospatial data.  Introduction to geospatial technologies like GPS, Google Earth, satellite imagery, and GIS, and provides a critical understanding of the strengths and limitations of spatial representations (e.g., maps, images). "|"3"|8202
4827|"GEOG 198"|198|"Directed Study"|"Independent study as arranged with a faculty member. "|"1-2"|8204
4828|"GEOG 199"|199|"Directed Study"|"Independent study as arranged with a faculty member. "|"1-2"|8205
4829|"GEOG 230"|230|"Soil: Ecosystem and Resource"|"Soils are fundamental to ecosystem science. A systems approach is used to investigate how soils look and function. Topics investigated include soil structure, biology, water, fertility, and taxonomy as well as the human impact on the soil environment. "|"3"|17786
4830|"GEOG 244"|244|"Introduction to Southeast Asia:  Vietnam to the Philippines"|"As an introduction to Southeast Asia, covers the ethnic, cultural, religious, and political histories of the region from the classical states period to the present, with an emphasis on colonialism, nationalism, decolonization, and the emergence of modern political and social systems into the 21st century, including an exposure to region's contemporary literature. Not open to students who completed LCA 244 prior to Fall 2019."|"4"|9088
4831|"GEOG 253"|253|"Russia: An Interdisciplinary Survey"|"Comprehensive interdisciplinary survey of Russian civilization from its beginnings through the present day. "|"4"|15883
4832|"GEOG 254"|254|"Eastern Europe: An Interdisciplinary Survey"|"Comprehensive interdisciplinary survey of East European culture, society, politics, and literature from its beginnings to the present day. "|"4"|21202
4833|"GEOG 260"|260|"Latin America: An Introduction"|"Latin American culture and society from an interdisciplinary perspective; historical developments from pre-Columbian times to the present; political movements; economic problems; social change; ecology in tropical Latin America; legal systems; literature and the arts; cultural contrasts involving the US and Latin America; land reform; labor movements; capitalism, socialism, imperialism; mass media. "|"3-4"|18257
4834|"GEOG 277"|277|"Africa: An Introductory Survey"|"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure. "|"4"|17556
4835|"GEOG 300"|300|"Weird Geographies"|"""An opportunity to re-imagine human geography. The history of geography is particularly violent and exclusive. It is well known that systems of colonialist exploitation, theft, kidnapping, and murder were facilitated in part by the work of modern cartographers and """"explorers."""" The discipline that we have today is a product of these earlier colonial epistemologies and ideologies. The science that emerged from these fields - geography - institutionalizes and reproduces many the ideas and viewpoints of their modern practitioners. Creates a space to re-imagine and re-invent what the field of human geography might be. Interrogates the colonial history of geography as a social science and practice. Explores several ways of thinking about space and social life that might not fit cleanly into the discipline at large. """|"3"|26271
4836|"GEOG 301"|301|"Revolutions and Social Change"|"An introduction to the spatial dimensions of social movements, social struggles, and radical social change. Provides a range of critical and theoretical perspectives for reading and interpreting space as a tool of social transformation. Explores a variety of historical examples from the nineteenth century to the present. "|"3"|8218
4837|"GEOG 302"|302|"Economic Geography: Locational Behavior"|"Classic location theory with modern extensions. Examination of theoretical statements and selected empirical examples. Principles of economic regionalization and network analysis with emphasis on spatial implications of the economic development process. "|"4"|8219
4838|"GEOG 305"|305|"Introduction to the City"|"Investigates urbanization as a general process, as well as the resulting contemporary physical, social, cultural and political- economic forms of cities. Emphasis will be placed on the history and current forms of spatial and social segregation of cities by race, class, ethnicity, and gender. The myriad ways that cities have addressed the tensions emerging from this history of spatial and social segregation will be highlighted. Further, emphasis will be placed on understanding the experiences of those most-affected by historical and continuing segregation. "|"3-4"|8222
4839|"GEOG 307"|307|"International Migration, Health, and Human Rights"|"Provides an introduction to health and human mobility in a global context. Mobility is part of the human condition and international law enshrines freedom of movement, yet nation-states reserve the right to exclude. Examines the development of laws and institutions governing people on the move; how these solidify or reshape existing global, racial-ethnic, class, and gender hierarchies; and how they contribute to individual and population-level health. "|"3"|25153
4840|"GEOG 308"|308|"Latinx Feminisms: Women's Lives, Work, and Activism"|"An examination of Latinx women's lives, experiences, and activism through the lens of testimonio, life histories, and feminist writings rooted in social justice movements and critical pedagogies. "|"3"|25770
4841|"GEOG 309"|309|"People, Land and Food: Comparative Study of Agriculture Systems"|"Introduction to how and why humans have transformed natural landscapes around the world, including tropical deforestation. Exploration of different agricultural systems, and topics such as food security, land scarcity, bioenergy and the impacts of food production on the environment. "|"3"|8223
4842|"GEOG 311"|311|"The Global Game: Soccer, Politics, and Identity"|"Soccer (or football) is played in almost every part of the world. Soccer will be used as a lens through which to think critically about a range of issues within our own societies and around the world. This includes examining the relationship between European imperialism and the globalization of soccer in the early 20th century; thinking about who gets to play (and who gets paid) across different contexts; and analyzing how soccer is both globally networked and intensely local in its passions and rivalries. Draws from a range of perspectives on soccer, from those who consider it to be an opium for the masses to those who see it as a vehicle for positive social change, in order to illuminate some of the big questions facing the world today. "|"3"|25937
4843|"GEOG 315"|315|"Universal Basic Income: The Politics Behind a Global Movement"|"Should all individuals in society receive a regular transfer of cash from the state without any strings attached? If that question had been posed fifteen years ago, it would likely have been dismissed as unrealistic, undesirable, or just plain crazy. In recent years, however, the idea of introducing a universal basic income [UBI] has gained a lot of traction around the world. Growing inequalities, financial crises, fears about jobs being automated, and the COVID-19 pandemic have all helped to put UBI on the political map. But where did the idea come from? How is it traveling to different parts of the world? And on what grounds do different advocates justify their claims? Address these questions and more by exploring the history, philosophy, and political economy of UBI from a range of perspectives. Ongoing UBI experiments from different parts of the world will also be examined.  "|"3"|25905
4844|"GEOG 318"|318|"Introduction to Geopolitics"|"Introduction to the contemporary study of geopolitics, featuring the main concepts and research themes encountered in this field.  Examine the formation of geopolitical images of the world, where these images come from, and how they have shaped our thinking and politics over time. "|"3"|8228
4845|"GEOG 320"|320|"Geomorphology"|"Principles and analysis of geomorphic processes and resulting land forms. "|"3"|8486
4846|"GEOG 322"|322|"Polar Regions and Their Importance in the Global Environment"|"Reviews the past, present, and future of the Arctic and Antarctic regions. Covers the history, geography, atmospheric and ocean circulations, permafrost, ice sheets, glaciers, and future state of the Arctic and Antarctica as projected by earth system models. Also explores the role of the polar regions in the earth's system and associated global climatic feedbacks. "|"3"|25718
4847|"GEOG 323"|323|"Science of Climate Change"|"Calculus-based treatment of climate system physics and the mechanisms of modern-day anthropogenic climate change. Covers how solar radiation and rotating fluid dynamics determine the basic climate state; mechanisms of natural variability and change in climate; why anthropogenic climate change is occurring; and which scientific uncertainties are most important to estimates of 21st century change. "|"3"|24323
4848|"GEOG 326"|326|"Landforms-Topics and Regions"|"Emphasis on natural and human processes that control the morphology of the land and its waterways. "|"3"|8234
4849|"GEOG 329"|329|"Landforms and Landscapes of North America"|"Regional variation of landforms and physical landscapes in North America; processes and forms that give character to physiographic regions. "|"3"|8237
4850|"GEOG 332"|332|"Global Warming: Science and Impacts"|"Offers a fundamental understanding of how and why global warming is happening and what to expect in the future. Investigate and discuss the evidence for change, the science that explains these observations, predicted impacts on humans and ecosystems, and the societal debate over  proposed solutions. "|"3"|23108
4851|"GEOG 333"|333|"Green Urbanism"|"""Over half of the world's population now lives in urban areas, with an expected increase of 2.5 billion people in the next 30 years. As urbanization (broadly defined as the conversion of previously undeveloped lands into urbanized uses) continues and intensifies, we are faced with a number of environmental issues, for instance, fragmentation and destruction of habitats, and decreased air and water quality.  Explore how urbanization impacts ecological processes and resulting environmental outcomes, strategies for """"designing with nature,"""" and behavioral, planning, and policy responses to urban environmental problems. """|"3"|26339
4852|"GEOG 335"|335|"Climatic Environments of the Past"|"Climate change at timescales from the last several million years to the last 100 years, with emphasis on more recent timescales. Examines how climate variability arises from interplay between external forcings, feedbacks within the earth system, and (more recently) human activity. "|"3"|8239
4853|"GEOG 337"|337|"Nature, Power and Society"|"Explores the links between nature, power and society in today's world. Considers the complex relationships between humans and the earth's resources, including food, energy, physical materials, water, biota, and landscapes. Examines issues linked to population and scarcity, resource tenure, green consumerism, political economy, environmental ethics, risks and hazards, political ecology, and environmental justice. "|"3"|24005
4854|"GEOG 338"|338|"Environmental Biogeography"|"Explores how physical and biological factors affect the distribution of terrestrial biomes, ecosystem types, and biodiversity, as well as the role of disturbance and recent human activities on differences in past and modern day species distributions. "|"3"|8241
4855|"GEOG 339"|339|"Environmental Conservation"|"Examines major environmental conservation approaches in the U.S. and developing countries and how they are influenced by sociopolitical factors, cultural values and scientific understandings of nature. Historical and contemporary cases are explored with emphasis on biodiversity and climate change issues. "|"4"|8242
4856|"GEOG 340"|340|"World Regions in Global Context"|"Survey of development and change within each of the world's regions (e.g., Africa, Southeast Asia). Attention devoted to environment and society; history, economy, and demographic change; culture and politics; future challenges; key actors. "|"3"|8200
4857|"GEOG 342"|342|"Geography of Wisconsin"|"Overview of the physical and human geography of Wisconsin, with an emphasis on the physical, historical, and cultural processes that shaped the Badger State. "|"3"|8247
4858|"GEOG 344"|344|"Changing Landscapes of the American West"|"Environmental change in the landscapes of the American West, in the recent past, present, and future, from the physical science background to human-environment interactions. "|"3"|8250
4859|"GEOG 345"|345|"Managing Nature in Native North America"|"Surveys the concepts, practices, and issues associated with natural resource management in American Indian communities. "|"3"|25025
4860|"GEOG 348"|348|"Latin America"|"A topical and historical survey of the cultural ecology and human geography of Middle America and South America. "|"4"|8256
4861|"GEOG 349"|349|"Europe"|"A topical overview of people-environment interaction, migration, culture, urbanization, political organization and integration. "|"3"|8257
4862|"GEOG 355"|355|"Africa, South of the Sahara"|"Physical and human distributions and interrelationships, with emphasis on the spatial processes and patterns of modernization. "|"3"|8265
4863|"GEOG 358"|358|"Human Geography of Southeast Asia"|"Introduction to the human geography and history of Southeast Asia, including important political and theoretical issues and policies and positionings of relevance for understanding the spatiality of the region, including the ways that ethnicity and indigeneity are playing out in Southeast Asia and among Southeast Asians in the United States. "|"3"|8267
4864|"GEOG 359"|359|"Australia: Environment and Society"|"An introduction to the human and environmental geography of Australia, including Australian geology, ecology, society, and culture. Topics include analysis of  current events in Australia and current resource management problems using Google Earth and other tools. Australia is a settler country, the scene of indigenous genocide, a former English colony, a mythical unknown, a biophysical puzzle, home to a startling diversity of life, a cradle of modern democracy, and a powerful industrial economy with a rich resource base. It thus serves in many ways as a mirror for the US - even matching the US roughly in size, if not in population. The two countries share many elements of a common history and biogeography and yet the human and environmental geographies of the two countries have traced very different paths into the modern world. "|"3"|24704
4865|"GEOG 360"|360|"Quantitative Methods in Geographical Analysis"|"Application of descriptive and inferential statistics to geographical problems. "|"4"|8269
4866|"GEOG 365"|365|"Geographical Traditions and Practices"|"An introduction to the breadth and practice of Geography. Introduces geographic perspectives, theories, themes, and research design. Covers the history of the discipline, applied quantitative and qualitative methodologies used in geographic research, and a selection of subfields within the discipline. "|"3"|25206
4867|"GEOG 370"|370|"Introduction to Cartography"|"A broad introduction to cartography emphasizing the theory and practice of map-making. Topics include the basics in mapping (e.g., scale, spatial reference systems, projections), data acquisition, key techniques for thematic mapping, and principles of cartographic abstraction and design. "|"4"|8272
4868|"GEOG 371"|371|"Introduction to Environmental Remote Sensing"|"Introduction to the Earth as viewed from above, focusing on use of aerial photography and satellite imagery to study the environment. Includes physical processes of electromagnetic radiation, data types and sensing capabilities, methods for interpretation, analysis and mapping, and applications. "|"3"|23924
4869|"GEOG 372"|372|"Intermediate Environmental Remote Sensing"|"Examines intermediate-level concepts in information extraction, data processing and radiative transfer relevant to remote sensing of the environment. Includes transforms, image correction, classification algorithms and change detection, with emphasis on applications for land use planning and natural resource management. "|"3"|23925
4870|"GEOG 377"|377|"An Introduction to Geographic Information Systems"|"Design, implementation and use of automated procedures for storage, analysis and display of spatial information. Covers data bases, information manipulation and display techniques, software systems and management issues. Case studies. "|"4"|8277
4871|"GEOG 378"|378|"Introduction to Geocomputing"|"Introduction to scripting for Geographic Information Science. Geoprocessing with open-source GIS utilities. Python scripting with ArcGIS and open-source libraries. "|"4"|23341
4872|"GEOG 399"|399|"Independent Study"|"Study under direct guidance of a faculty member. Appropriate for initial exploration of an area of scholarship in Geography through laboratory, field, or literary study. "|"1-3"|24725
4873|"GEOG 410"|410|"Critical Indigenous Ecological Knowledges"|"Critical Indigenous Ecological Knowledges are a set of diverse understandings, responsibilities, and laws held by distinct groups of Indigenous peoples that are enacted in multiple ways across socio-political and geographical contexts. These knowledges intersect with Indigenous political sovereignties and longstanding, complex, and nuanced relationships to the more-than-human world. Learn multiple entry points to exploring and examining these knowledge sets in the context of what's for now called the U.S. and Canada to think critically about the politics of Nature, environmentalism, race, indigeneity, and colonialism both historically and in the contemporary moment. Reflect upon how critical Indigenous knowledges about ecology, environment, and government have been erased, co-opted, criminalized, and also continually practiced, reimagined, and revitalized in multiple spheres through a range of interdisciplinary, critical, and cutting-edge Native scholarships and writings. "|"3"|26046
4874|"GEOG 420"|420|"Glacial and Pleistocene Geology"|"Principles, characteristics and work of glaciers; events of the Pleistocene. Field trip. "|"3"|8517
4875|"GEOG 434"|434|"People, Wildlife and Landscapes"|"Explores the relationship between humans and wildlife amid diverse landscapes, both historic and contemporary, tropical and temperate. Investigates how humans shape wild animal populations by modifying physical environments, and by hunting, domesticating and introducing species. "|"3"|21543
4876|"GEOG 439"|439|"US Environmental Policy and Regulation"|"Covers a broad cross-section of American environmental policy by focusing on specific statutes and policy arenas. Surveys the basic elements of American environmental policy and regulation with a particular focus on the specific people, sites and scales at which environmental decision-making happens through primary-source case material. Maintains a dual focus on (a) the legal and regulatory aspects of environmental regulation and (b) the specific geographic and social features of actual cases in which regulations and policy are used. Understanding environmental outcomes in a complex society depends on observing both the structure of regulations and the geographic and social context in which such regulations emerge. "|"3-4"|24147
4877|"GEOG 460"|460|"American Environmental History"|"Survey of interactions among people and natural environments from before European colonization to present. Equal attention to problems of ecological change, human ideas, and uses of nature and history of conservation and environmental public policy. "|"4"|9288
4878|"GEOG 469"|469|"The Making of the American Landscape"|"Surveys the historical geography and environmental history of the United States by tracing the evolution of the American landscape from precolonial times to the present, with special emphasis on developing skills to interpret landscape history. "|"4"|24516
4879|"GEOG 475"|475|"Topics in Geography"|"Explores emerging topics in Geography. "|"1-4"|23835
4880|"GEOG 500"|500|"Qualitative Strategies in Geography"|"Surveys qualitative research and methods in geography, including the human subjects review process, research ethics, preparing for fieldwork, participant observation, interviewing, focus groups, filmic experiences, archival research, participatory action research, analyzing field materials and writing styles in qualitative research. "|"3"|23713
4881|"GEOG 501"|501|"Space and Place: A Geography of Experience"|"Explore the concepts of space and place from the perspective of learning and everyday experience. Examines how space and place emerge out of fundamental human needs, experiences, and ways of thinking. "|"3"|8295
4882|"GEOG 503"|503|"Researching the City: Qualitative Strategies"|"Explores, and applies, qualitative methods in the field of urban geography. An introduction to debates around the analysis and interpretation of qualitative data is provided, grounded in concrete urban research. Participation in a three-day field course is required. "|"3"|21544
4883|"GEOG 504"|504|"Feminist Geography: Theoretical Approaches"|"Provides an opening to some of the key debates and practices in feminist (political) geography. Feminist geography focuses on questions of power, difference, embodiment, and social change. How are feminist geographies in conversation with or part of other fields of inquiry, such as critical ethnic studies and Indigenous studies, which also focus on questions of difference, epistemologies of knowledge, and social transformation and/or decolonization? That is, what are the relationships of feminist geographic inquiry to liberatory projects of ending racism, capitalism, settler colonialism, and heteropatriarchy. Explore how feminist theories and approaches in geography transformed prevailing political geographic questions and concerns, such as power, politics, territory, boundaries, sovereignty, and violence. What do feminist principles and debates over feminist politics and methods bring to (political) geography? "|"3"|26063
4884|"GEOG 505"|505|"Urban Spatial Patterns and Theories"|"Various urban empirical regularities and theories which explain them. "|"3"|8298
4885|"GEOG 506"|506|"Historical Geography of European Urbanization"|"Historical geography of urban development in Europe from classical times to the post-Word War II era, with emphasis on changes in built environment, public space and infrastructure, land use, and urban systems. "|"3"|8300
